Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N	channel_134C	channel_135N
sp|P10412|H14_HUMAN	P10412	H14_HUMAN	H1-4	219	Homo sapiens	Histone H1.4	1:Experimental evidence at protein level	41.10	1.0000	0.9990	13	3	10	13	3	10	20559728	9726066	20559728	10K(304.2072), 11K(304.2072), 12K(304.2072), 13K(304.2072), 1K(304.2072), 2K(304.2072), 3K(304.2072), 7K(304.2072), 9K(304.2072), N-term(304.2072)			3248460.9844	1669470.3320	388802.2148	139232.9570	113300.2427	29128.4756	25721.1250	36082.6971	30961.1814	135131.0317	66010.6705	181376.5986	270888.4253	55267.7013	60848.1841	46842.5817	130996.0168	127557.3158
sp|P10515|ODP2_HUMAN	P10515	ODP2_HUMAN	DLAT	647	Homo sapiens	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	1:Experimental evidence at protein level	4.79	1.0000	0.9990	4	4	4	4	4	4	7473871	7473871	7473871	8K(304.2072), N-term(304.2072)			140649.0107	482796.9766	104577.2256	52520.1951	93284.0928	12755.4957	7733.0752	8398.8792	11712.5420	69505.5894	51228.7236	141913.6992	207611.8555	39691.8052	32041.6128	26097.8740	144271.6426	66105.2017
sp|P10599|THIO_HUMAN	P10599	THIO_HUMAN	TXN	105	Homo sapiens	Thioredoxin	1:Experimental evidence at protein level	17.14	1.0000	0.9990	3	3	3	3	3	3	7694113	7694113	7694113	11K(304.2072), 2K(304.2072), 7K(304.2072), 9K(304.2072), N-term(304.2072)			206996.0566	598721.6406	181055.6328	63316.1597	256079.6152	42207.6060	25794.8218	24701.2900	33670.0459	81213.4863	70758.1709	209365.7109	348008.3320	111896.7993	70753.4512	65134.1504	188363.3594	138868.5391
sp|P10606|COX5B_HUMAN	P10606	COX5B_HUMAN	COX5B	129	Homo sapiens	Cytochrome c oxidase subunit 5B, mitochondrial	1:Experimental evidence at protein level	51.16	1.0000	0.9990	9	9	9	12	12	12	32482986	32482986	32482986	11K(304.2072), 12K(304.2072), 18K(304.2072), 1K(304.2072), 3M(15.9949), 7K(304.2072), N-term(304.2072)			263186.6382	696909.4082	384594.8096	88781.8760	242598.3711	32447.6533	42704.6361	40878.2244	67127.0714	107814.6426	132802.6682	229872.2642	679602.0078	141476.4448	213974.5933	131310.5081	385668.6406	359428.7314
sp|P10636|TAU_HUMAN	P10636	TAU_HUMAN	MAPT	758	Homo sapiens	Microtubule-associated protein tau	1:Experimental evidence at protein level	42.61	1.0000	0.9990	48	47	48	99	97	99	337274072	337274072	337274072	10K(304.2072), 10M(15.9949), 11K(304.2072), 12K(304.2072), 13K(304.2072), 14K(304.2072), 15K(304.2072), 16K(304.2072), 17K(304.2072), 19K(304.2072), 1C(57.0215), 1K(304.2072), 20K(304.2072), 21K(304.2072), 2K(304.2072), 4K(304.2072), 5K(304.2072), 6K(304.2072), 6M(15.9949), 7K(304.2072), 8K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)			5096433.2056	29487516.7305	4304068.2207	2409704.6970	1183140.4458	298561.3230	256608.5260	195240.9680	287788.9620	681175.5388	652356.2477	1104411.0364	2268020.5896	656544.5203	1071943.4468	421120.2333	1523062.0969	1143227.6926
sp|P10768|ESTD_HUMAN	P10768	ESTD_HUMAN	ESD	282	Homo sapiens	S-formylglutathione hydrolase	1:Experimental evidence at protein level	9.93	1.0000	0.9990	3	3	3	3	3	3	1996252	1996252	1996252	12K(304.2072), 1C(57.0215), 7K(304.2072), 9K(304.2072), N-term(304.2072)			101646.3506	233802.0059	72593.9961	23860.1414	118628.6055	7590.5900	5894.6504	5426.3992	15158.9403	25121.2808	31030.9453	85896.6035	129039.7148	31024.3452	27179.9463	23884.6641	92011.3125	73865.8555
sp|P10809|CH60_HUMAN	P10809	CH60_HUMAN	HSPD1	573	Homo sapiens	60 kDa heat shock protein, mitochondrial	1:Experimental evidence at protein level	37.70	1.0000	0.9990	25	25	25	30	30	30	28910816	28910816	28910816	11K(304.2072), 12K(304.2072), 12M(15.9949), 13C(57.0215), 13K(304.2072), 15K(304.2072), 16K(304.2072), 1C(57.0215), 1K(304.2072), 3K(304.2072), 4K(304.2072), 5K(304.2072), 7K(304.2072), 7M(15.9949), 8K(304.2072), 9K(304.2072), N-term(304.2072)			1152060.3066	2491782.0439	948008.6216	247928.1288	1234123.0459	241239.1348	103031.7974	89243.0745	183876.3757	533347.4939	528523.3721	1240999.7251	2323411.0049	817863.8110	340582.0447	457148.5684	1305359.2471	813585.1948
sp|P10909|CLUS_HUMAN	P10909	CLUS_HUMAN	CLU	449	Homo sapiens	Clusterin	1:Experimental evidence at protein level	14.70	1.0000	0.9990	6	6	6	6	6	6	8278706	8278706	8278706	10K(304.2072), 16K(304.2072), 2K(304.2072), 5C(57.0215), 7C(57.0215), 7K(304.2072), 8K(304.2072), N-term(304.2072)			940197.7266	923857.0117	289439.6816	77271.2854	119290.2954	57472.4714	19471.2504	26920.7830	23900.3345	68282.1768	64214.0205	102522.2781	362023.7754	30646.3633	38575.9871	22245.3821	104142.6116	67576.8489
sp|P10915|HPLN1_HUMAN	P10915	HPLN1_HUMAN	HAPLN1	354	Homo sapiens	Hyaluronan and proteoglycan link protein 1	2:Experimental evidence at transcript level	8.47	1.0000	0.9988	3	3	3	3	3	3	3799527	3799527	3799527	1C(57.0215), 3C(57.0215), 7K(304.2072), 8K(304.2072), N-term(304.2072)			131058.4775	322386.2969	66868.4375	21271.8726	93079.8496	6532.1663	7862.0396	7226.2069	17187.8271	34792.2192	28972.9404	87805.1543	155595.7324	47232.2227	24181.9233	39170.8662	81572.8262	66408.1016
sp|P11021|BIP_HUMAN	P11021	BIP_HUMAN	HSPA5	654	Homo sapiens	Endoplasmic reticulum chaperone BiP	1:Experimental evidence at protein level	24.01	1.0000	0.9990	15	12	13	16	13	14	31014196	3150487	31014196	12K(304.2072), 15K(304.2072), 17K(304.2072), 1K(304.2072), 2K(304.2072), 4K(304.2072), 7K(304.2072), 8K(304.2072), N-term(304.2072)			705469.3809	613825.8652	201023.9744	65031.4818	241026.8164	179816.0605	32971.2672	28870.8760	44787.7899	105299.3315	127246.3578	223347.4241	524142.1074	125178.0376	85701.0618	80307.3997	338218.1982	201065.4233
sp|P11137|MTAP2_HUMAN	P11137	MTAP2_HUMAN	MAP2	1827	Homo sapiens	Microtubule-associated protein 2	1:Experimental evidence at protein level	22.93	1.0000	0.9990	40	40	40	47	47	47	25079263	25079263	25079263	10K(304.2072), 11K(304.2072), 12K(304.2072), 14K(304.2072), 15K(304.2072), 16K(304.2072), 17K(304.2072), 1K(304.2072), 2K(304.2072), 4K(304.2072), 5K(304.2072), 6K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072), N-term(42.0106)			2228845.0884	6115101.7988	1421429.8218	492528.8113	601006.6938	102118.1957	79862.5879	76387.7246	101299.3864	296685.2139	359144.3761	468917.5851	1491072.4321	247121.1442	298836.5072	144119.2960	662362.5073	435057.5842
sp|P11142|HSP7C_HUMAN	P11142	HSP7C_HUMAN	HSPA8	646	Homo sapiens	Heat shock cognate 71 kDa protein	1:Experimental evidence at protein level	41.49	1.0000	0.9990	31	18	31	37	24	37	58002623	36837474	58002623	10M(15.9949), 11K(304.2072), 12K(304.2072), 14K(304.2072), 15K(304.2072), 16K(304.2072), 17K(304.2072), 2C(57.0215), 2K(304.2072), 3K(304.2072), 4K(304.2072), 5M(15.9949), 6C(57.0215), 6K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			2013037.4775	3197821.9248	1315499.3955	389013.6273	2278308.8691	263823.5432	159407.1855	135661.1212	255883.4146	749176.2399	697756.3193	1923498.8672	2412826.3809	697230.7612	475935.9548	449344.5823	2290093.9731	1455042.8875
sp|P11177|ODPB_HUMAN	P11177	ODPB_HUMAN	PDHB	359	Homo sapiens	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	1:Experimental evidence at protein level	21.45	1.0000	0.9990	8	8	8	9	9	9	4785272	4785272	4785272	11K(304.2072), 12K(304.2072), 16K(304.2072), 5C(57.0215), 7K(304.2072), 8K(304.2072), 8M(15.9949), N-term(304.2072)			147199.4053	372180.8730	139572.0000	31916.9473	163182.6060	10707.9608	14621.6031	6666.8680	32934.3600	81156.6709	88221.9744	197430.9385	293331.8857	58978.0479	40001.6033	47366.5404	240916.3237	145017.5112
sp|P11216|PYGB_HUMAN	P11216	PYGB_HUMAN	PYGB	843	Homo sapiens	Glycogen phosphorylase, brain form	1:Experimental evidence at protein level	3.56	1.0000	0.9990	4	2	4	4	2	4	2520835	1644590	2520835	7K(304.2072), N-term(304.2072)			193931.8477	436231.2500	110044.2070	50505.4131	97278.1602	24177.1353	23581.5388	22648.8667	14785.7305	70844.5820	62629.2930	118958.6152	152363.6797	37459.6250	39790.5674	32133.4336	181541.3555	95146.8672
sp|P11233|RALA_HUMAN	P11233	RALA_HUMAN	RALA	206	Homo sapiens	Ras-related protein Ral-A	1:Experimental evidence at protein level	20.39	1.0000	0.9990	5	4	5	5	4	5	7204942	7204942	7204942	11K(304.2072), 14K(304.2072), 16K(304.2072), 3M(15.9949), 6K(304.2072), 8K(304.2072), N-term(304.2072)			278881.2559	434736.7930	150618.9258	58100.9922	201324.2246	31717.6147	24026.9344	30042.5966	22524.3395	51199.0371	52512.7170	163809.0020	205598.7090	51164.8101	39594.6965	36605.1753	166247.9697	134607.4102
sp|P11441|UBL4A_HUMAN	P11441	UBL4A_HUMAN	UBL4A	157	Homo sapiens	Ubiquitin-like protein 4A	1:Experimental evidence at protein level	12.10	1.0000	0.9990	2	2	2	2	2	2	741978	741978	741978	11K(304.2072), N-term(304.2072)			24567.8857	94217.0586	75785.9258	9222.7334	17564.1782	4245.4607	2346.7072	1731.0012	4890.7112	9149.7817	8442.1121	17960.2983	31488.0898	5254.1353	9276.9680	6607.4690	23116.8936	22808.2305
sp|P11940|PABP1_HUMAN	P11940	PABP1_HUMAN	PABPC1	636	Homo sapiens	Polyadenylate-binding protein 1	1:Experimental evidence at protein level	4.56	1.0000	0.9990	3	0	3	3	0	3	2365176	     0	2365176	3C(57.0215), 9K(304.2072), N-term(304.2072)			23025.1875	69287.1016	19773.6191	6572.7656	12083.7236	4127.9399	2825.1914	4019.6838	2169.4717	11006.7617	6651.7856	16889.0703	23544.5371	5399.1440	5034.3169	2533.5103	14862.7607	7407.5771
sp|P12235|ADT1_HUMAN	P12235	ADT1_HUMAN	SLC25A4	298	Homo sapiens	ADP/ATP translocase 1	1:Experimental evidence at protein level	36.24	1.0000	0.9990	12	4	11	13	4	12	18032673	5423674	18032673	10K(304.2072), 11K(304.2072), 12C(57.0215), 13C(57.0215), 13K(304.2072), 1K(304.2072), 2M(15.9949), 3K(304.2072), 6M(15.9949), 7K(304.2072), 8C(57.0215), 8K(304.2072), 9K(304.2072), N-term(304.2072)			477944.2441	1090437.8809	433143.4814	110240.2588	362617.1528	42259.6783	35099.9872	34263.1095	69795.8605	167142.7190	173709.7102	412606.2935	619196.4570	194228.5833	137118.3463	149251.1958	628830.1543	450724.5586
sp|P12236|ADT3_HUMAN	P12236	ADT3_HUMAN	SLC25A6	298	Homo sapiens	ADP/ATP translocase 3	1:Experimental evidence at protein level	38.26	1.0000	0.9990	13	3	3	14	3	3	25564527	5415777	25564527	13K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072), N-term(42.0106)			106558.5117	198981.5723	96477.3545	20521.9846	69701.9824	9677.1018	7359.9810	11569.2979	15316.0046	48366.6165	42177.1128	117880.4961	119226.5195	27724.3423	25363.7803	23094.2578	139741.4961	103424.6055
sp|P12277|KCRB_HUMAN	P12277	KCRB_HUMAN	CKB	381	Homo sapiens	Creatine kinase B-type	1:Experimental evidence at protein level	39.11	1.0000	0.9990	13	12	13	17	16	17	24157550	24157550	24157550	10K(304.2072), 11M(15.9949), 15K(304.2072), 3C(57.0215), 5M(15.9949), 6K(304.2072), 8C(57.0215), 8K(304.2072), 9K(304.2072), N-term(304.2072)			388373.6836	763003.4854	310730.0952	83104.8346	345326.5889	48556.4611	31090.8979	20692.7481	46750.2505	79301.2433	113028.6880	268034.0596	411209.2783	90311.8580	99021.1139	73125.4872	517456.7148	348269.8643
sp|P12532|KCRU_HUMAN	P12532	KCRU_HUMAN	CKMT1B	417	Homo sapiens	Creatine kinase U-type, mitochondrial	1:Experimental evidence at protein level	33.57	1.0000	0.9990	16	11	16	19	12	19	35850633	21143645	35850633	10K(304.2072), 13K(304.2072), 14K(304.2072), 3K(304.2072), 4C(57.0215), 7C(57.0215), 8C(57.0215), 8K(304.2072), 9K(304.2072), N-term(304.2072)			516511.2290	1428035.8770	545168.5264	148507.3817	598894.2842	63893.1525	63005.2982	58076.4380	113503.1680	320193.2167	277991.3777	751119.6475	1304731.5869	361617.5243	189961.8188	174867.9297	546903.5933	421510.6462
sp|P12814|ACTN1_HUMAN	P12814	ACTN1_HUMAN	ACTN1	892	Homo sapiens	Alpha-actinin-1	1:Experimental evidence at protein level	8.52	1.0000	0.9990	7	3	7	7	3	7	5126138	2096813	5126138	13K(304.2072), 16K(304.2072), 1C(57.0215), 7K(304.2072), 8K(304.2072), N-term(304.2072)			140199.3379	370419.0918	88200.3428	32021.0897	80857.3291	19062.7947	8548.6760	9091.8417	11136.8932	58249.1212	70369.4917	106751.2769	276475.1387	29584.9049	44531.7625	23129.9785	262232.8848	128910.7598
sp|P13073|COX41_HUMAN	P13073	COX41_HUMAN	COX4I1	169	Homo sapiens	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	1:Experimental evidence at protein level	50.30	1.0000	0.9990	13	13	13	26	26	26	263914160	263914160	263914160	10K(304.2072), 10M(15.9949), 11K(304.2072), 12K(304.2072), 13K(304.2072), 2K(304.2072), 5K(304.2072), 6M(15.9949), 7K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)			808197.5391	7299036.3984	1573845.2295	471380.1528	333806.4343	62197.1989	51663.4293	48918.7872	86546.8230	160544.3021	174433.9739	286347.3208	467796.2056	126167.4401	168593.2982	140524.2573	517516.9141	471214.9155
sp|P13489|RINI_HUMAN	P13489	RINI_HUMAN	RNH1	461	Homo sapiens	Ribonuclease inhibitor	1:Experimental evidence at protein level	4.99	1.0000	0.9990	2	2	2	2	2	2	2737831	2737831	2737831	1C(57.0215), 2K(304.2072), 3C(57.0215), N-term(304.2072)			53812.8184	100154.2461	27053.0537	16636.0752	107855.1914	39557.1260	9284.7974	7626.4180	6772.2605	27689.1191	38680.7559	59839.1367	155614.3516	65757.3057	28351.6973	14035.2148	89587.2578	106201.2734
sp|P13521|SCG2_HUMAN	P13521	SCG2_HUMAN	SCG2	617	Homo sapiens	Secretogranin-2	1:Experimental evidence at protein level	14.26	1.0000	0.9990	11	11	11	12	12	12	8159180	8159180	8159180	11K(304.2072), 12K(304.2072), 13K(304.2072), 3K(304.2072), 6K(304.2072), 9K(304.2072), N-term(304.2072)			257880.6450	690862.3301	499900.7119	127020.4912	259290.4629	26776.9036	39980.0198	29733.6926	85617.7034	124033.6267	116078.9238	158262.6008	696095.5527	142418.3184	179854.8184	127953.8281	257991.9531	260701.2764
sp|P13591|NCAM1_HUMAN	P13591	NCAM1_HUMAN	NCAM1	858	Homo sapiens	Neural cell adhesion molecule 1	1:Experimental evidence at protein level	22.61	1.0000	0.9990	17	17	17	20	20	20	13221223	13221223	13221223	10K(304.2072), 11K(304.2072), 12K(304.2072), 13K(304.2072), 15K(304.2072), 18K(304.2072), 1C(57.0215), 22K(304.2072), 2K(304.2072), 4C(57.0215), 5K(304.2072), 6K(304.2072), 7K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072)			1317250.5996	3318633.7812	695050.8223	249640.9913	488522.7949	71126.6389	44812.5508	32907.1666	63535.5393	201938.8286	237216.6541	287294.7871	1108970.8359	112629.8872	154522.2479	69250.7737	449726.4639	227107.1829
sp|P13611|CSPG2_HUMAN	P13611	CSPG2_HUMAN	VCAN	3396	Homo sapiens	Versican core protein	1:Experimental evidence at protein level	5.68	1.0000	0.9990	22	22	22	24	24	24	17980721	17980721	17980721	10C(57.0215), 11K(304.2072), 13K(304.2072), 15K(304.2072), 16K(304.2072), 19K(304.2072), 1K(304.2072), 2C(57.0215), 3C(57.0215), 3K(304.2072), 5C(57.0215), 5K(304.2072), 6C(57.0215), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			1408479.7021	3847063.9609	860910.4937	354430.3226	349365.4031	56028.7424	50399.6387	42981.2163	71786.3114	214214.3185	155062.4222	426047.6432	623676.4214	244893.6168	116068.1873	209087.4139	308256.1321	246468.6239
sp|P13637|AT1A3_HUMAN	P13637	AT1A3_HUMAN	ATP1A3	1013	Homo sapiens	Sodium/potassium-transporting ATPase subunit alpha-3	1:Experimental evidence at protein level	29.91	1.0000	0.9990	29	13	17	30	13	17	18363394	17550092	18363394	10K(304.2072), 11K(304.2072), 13K(304.2072), 14K(304.2072), 15C(57.0215), 18K(304.2072), 1C(57.0215), 4C(57.0215), 4K(304.2072), 5C(57.0215), 6K(304.2072), 7C(57.0215), 7K(304.2072), 8K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072)			1172556.2612	3440857.4375	651724.7632	281479.3708	622588.1099	71899.8126	60874.7385	42658.4160	56979.5122	293846.0914	370082.5408	690195.7407	1256196.5186	173279.4976	245800.2178	90274.0295	1259375.2373	343888.6279
sp|P13804|ETFA_HUMAN	P13804	ETFA_HUMAN	ETFA	333	Homo sapiens	Electron transfer flavoprotein subunit alpha, mitochondrial	1:Experimental evidence at protein level	15.92	1.0000	0.9990	4	4	4	5	5	5	1010341	1010341	1010341	10K(304.2072), 12K(304.2072), 13K(304.2072), 18K(304.2072), 7C(57.0215), 9C(57.0215), N-term(304.2072)			79091.6172	140181.6543	65480.2412	11419.5227	54379.5430	15295.6816	4863.2236	1740.6744	13749.9407	13540.3599	33637.4048	54059.0859	109303.6611	33996.5957	19473.4556	29901.6890	84047.4258	77865.5986
sp|P13861|KAP2_HUMAN	P13861	KAP2_HUMAN	PRKAR2A	404	Homo sapiens	cAMP-dependent protein kinase type II-alpha regulatory subunit	1:Experimental evidence at protein level	4.95	1.0000	0.9988	2	2	2	2	2	2	2517107	2517107	2517107	N-term(304.2072)			31658.9258	44754.6758	17136.7051	6534.6992	18515.2988	7743.9121	2654.5999	2908.5154	2987.9033	8921.7646	8846.1191	18067.7969	26623.7129	3880.4680	5022.8052	4061.8020	18471.8262	12749.3418
sp|P13987|CD59_HUMAN	P13987	CD59_HUMAN	CD59	128	Homo sapiens	CD59 glycoprotein	1:Experimental evidence at protein level	25.78	1.0000	0.9990	6	6	6	7	7	7	92501195	92501195	92501195	10C(57.0215), 10K(304.2072), 11C(57.0215), 11K(304.2072), 12K(304.2072), 13K(304.2072), 4C(57.0215), 8C(57.0215), 8K(304.2072), 9C(57.0215), N-term(304.2072)			648528.0898	1911857.9219	212841.1660	132201.7246	43959.0981	19836.5503	10973.4934	17578.3003	17502.2644	52352.4231	28221.9163	62552.6826	94772.4653	23802.4082	38750.0781	20520.2278	60042.3267	54575.8384
sp|P14136|GFAP_HUMAN	P14136	GFAP_HUMAN	GFAP	432	Homo sapiens	Glial fibrillary acidic protein	1:Experimental evidence at protein level	54.63	1.0000	0.9990	27	24	26	27	24	26	22501754	16417282	22501754	12K(304.2072), 1K(304.2072), 2K(304.2072), 7K(304.2072), 9K(304.2072), N-term(304.2072)			1839038.2739	2092434.6387	444679.4321	201183.7314	621189.1719	911986.8926	122587.8992	142890.5536	382189.3267	395028.2563	718106.8213	622744.7959	1425244.3701	1044849.1245	207914.9114	225282.6443	599426.2593	603640.9053
sp|P14174|MIF_HUMAN	P14174	MIF_HUMAN	MIF	115	Homo sapiens	Macrophage migration inhibitory factor	1:Experimental evidence at protein level	29.57	1.0000	0.9990	4	4	4	5	5	5	29000662	29000662	29000662	2M(15.9949), 3C(57.0215), N-term(304.2072), N-term(42.0106)			112186.1494	216962.6719	93538.2725	29218.7307	204995.8350	24269.0466	27345.0425	24656.9390	30094.3524	60920.8066	102192.2114	176824.0098	273157.0332	92608.0627	73034.0093	56358.9612	116403.9414	112384.9072
sp|P14209|CD99_HUMAN	P14209	CD99_HUMAN	CD99	185	Homo sapiens	CD99 antigen	1:Experimental evidence at protein level	12.97	1.0000	0.9990	2	2	2	2	2	2	7826661	7826661	7826661	N-term(304.2072)			217853.0547	157362.6094	49582.0391	19764.0342	22807.9922	18905.2742	32860.6667	17789.7051	26732.0994	17744.3140	44568.6934	39721.4375	64638.0020	27443.8398	31305.7180	10949.5386	29543.4912	41383.4473
sp|P14314|GLU2B_HUMAN	P14314	GLU2B_HUMAN	PRKCSH	528	Homo sapiens	Glucosidase 2 subunit beta	1:Experimental evidence at protein level	10.80	1.0000	0.9990	7	7	7	7	7	7	12703903	12703903	12703903	10K(304.2072), 2K(304.2072), 5K(304.2072), 7C(57.0215), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			783462.3555	886498.7090	341290.8809	101002.9289	166011.0376	84855.3713	28230.6742	22798.8413	32003.1541	98380.9990	75071.4277	144783.2966	308385.0957	69664.2754	65129.1992	40656.5701	201665.9351	140100.1880
sp|P14406|CX7A2_HUMAN	P14406	CX7A2_HUMAN	COX7A2	83	Homo sapiens	Cytochrome c oxidase subunit 7A2, mitochondrial	1:Experimental evidence at protein level	27.71	1.0000	0.9990	2	2	2	2	2	2	4453398	4453398	4453398	13K(304.2072), N-term(304.2072)			53434.9331	221430.8828	105644.3652	16542.3016	21340.1296	17081.9648	7598.6509	3910.1296	11012.7412	14691.4875	17582.6509	66606.0330	53789.4219	11815.8926	12916.6613	24035.0776	45360.7002	53113.4243
sp|P14415|AT1B2_HUMAN	P14415	AT1B2_HUMAN	ATP1B2	290	Homo sapiens	Sodium/potassium-transporting ATPase subunit beta-2	1:Experimental evidence at protein level	30.34	1.0000	0.9990	10	10	10	17	17	17	49864072	49864072	49864072	11K(304.2072), 13K(304.2072), 14C(57.0215), 14K(304.2072), 4C(57.0215), 7M(15.9949), N-term(304.2072)			988248.7793	3947040.6016	666551.9238	316889.1418	181309.8995	32003.3597	22897.3480	23219.2207	27601.4476	88896.0442	98795.0173	166083.8687	490855.2998	62551.2417	81063.8984	43503.6104	211606.3048	105476.6810
sp|P14618|KPYM_HUMAN	P14618	KPYM_HUMAN	PKM	531	Homo sapiens	Pyruvate kinase PKM	1:Experimental evidence at protein level	37.85	1.0000	0.9990	19	18	19	19	18	19	38203454	38203454	38203454	10K(304.2072), 11K(304.2072), 13K(304.2072), 18K(304.2072), 1C(57.0215), 1K(304.2072), 23K(304.2072), 2C(57.0215), 6C(57.0215), 6K(304.2072), 7K(304.2072), 9K(304.2072), N-term(304.2072)			994279.7939	1884102.9336	521600.8535	190017.7726	817848.7324	101681.9243	63563.1829	41440.0695	66980.0703	260564.3773	323522.7649	843605.2031	816676.9658	233700.1519	237548.8134	184526.8867	1120319.0986	728809.6592
sp|P14621|ACYP2_HUMAN	P14621	ACYP2_HUMAN	ACYP2	99	Homo sapiens	Acylphosphatase-2	1:Experimental evidence at protein level	52.53	1.0000	0.9990	6	6	6	8	8	8	5135820	5135820	5135820	10K(304.2072), 13K(304.2072), 18K(304.2072), 5C(57.0215), 7K(304.2072), N-term(304.2072)			242750.0205	773817.1875	322991.1670	77301.0138	199756.2764	28006.4554	22485.5250	23212.1301	32941.8676	60280.9102	64661.4863	162421.1519	293164.8916	81383.7239	76871.5466	61363.6558	159040.5146	166823.5825
sp|P14625|ENPL_HUMAN	P14625	ENPL_HUMAN	HSP90B1	803	Homo sapiens	Endoplasmin	1:Experimental evidence at protein level	12.08	1.0000	0.9990	10	8	10	10	8	10	3071511	2882024	3071511	11K(304.2072), 12K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			611194.7285	830336.1621	220934.5039	60507.4429	191802.4824	183062.3340	27073.0031	28978.1118	38743.9485	118341.4219	109394.8066	148260.1777	424435.0762	61098.1655	60933.5764	51614.1765	239935.5762	128941.6055
sp|P14854|CX6B1_HUMAN	P14854	CX6B1_HUMAN	COX6B1	86	Homo sapiens	Cytochrome c oxidase subunit 6B1	1:Experimental evidence at protein level	41.86	1.0000	0.9990	6	6	6	7	7	7	15273874	15273874	15273874	7C(57.0215), 8K(304.2072), N-term(304.2072)			338487.3115	837306.7969	400797.6201	125643.6719	171866.0420	34153.8439	85127.9424	44887.8203	80426.1343	191834.0015	176012.9971	178175.4668	449149.7480	83885.3521	166677.1494	169713.6650	319614.0967	263053.7910
